Operon	Gene	Location	Strand	Length	Gene	Synonym	Code	COG	Product	
1092 	prok_02701 	2836716..2837726 	+ 	1011 	hypE 	prok_02701 	- 	- 	Hydrogenase isoenzymes formation protein HypE
1092 	prok_02702 	2837800..2839878 	+ 	2079 	fhlA 	prok_02702 	- 	- 	Formate hydrogenlyase transcriptional activator
1092 	prok_02703 	2839923..2840351 	+ 	429 	mopA 	prok_02703 	- 	- 	Molybdenum-pterin-binding protein MopA
1093 	prok_02704 	2840390..2840734 	- 	345 	- 	prok_02704 	- 	- 	Nitrous oxide-stimulated promoter
1094 	prok_02705 	2841020..2843581 	+ 	2562 	mutS 	prok_02705 	- 	- 	DNA mismatch repair protein MutS
1094 	prok_02706 	2843687..2844343 	+ 	657 	pphB 	prok_02706 	- 	- 	Serine/threonine-protein phosphatase 2
1095 	prok_02707 	2844394..2845161 	- 	768 	glcR_2 	prok_02707 	- 	- 	HTH-type transcriptional repressor GlcR
1096 	prok_02708 	2845357..2846265 	+ 	909 	garR_1 	prok_02708 	- 	- 	2-hydroxy-3-oxopropionate reductase
1096 	prok_02709 	2846262..2847524 	+ 	1263 	- 	prok_02709 	- 	- 	hypothetical protein
1096 	prok_02710 	2847521..2848159 	+ 	639 	fucA_1 	prok_02710 	- 	- 	L-fuculose phosphate aldolase
1096 	prok_02711 	2848164..2848940 	+ 	777 	ygbM 	prok_02711 	- 	- 	Putative hydroxypyruvate isomerase YgbM
1096 	prok_02712 	2849029..2850393 	+ 	1365 	ygbN 	prok_02712 	- 	- 	Inner membrane permease YgbN
1097 	prok_02713 	2850536..2851579 	- 	1044 	- 	prok_02713 	- 	- 	Metallo-beta-lactamase superfamily protein
1098 	prok_02714 	2851804..2852355 	+ 	552 	wrbA_2 	prok_02714 	- 	- 	NAD(P)H dehydrogenase (quinone)
1099 	prok_02715 	2852533..2853525 	- 	993 	rpoS 	prok_02715 	- 	- 	RNA polymerase sigma factor RpoS
1099 	prok_02716 	2853588..2854727 	- 	1140 	nlpD_1 	prok_02716 	- 	- 	Murein hydrolase activator NlpD precursor
1099 	prok_02717 	2854867..2855493 	- 	627 	pcm 	prok_02717 	- 	- 	Protein-L-isoaspartate O-methyltransferase
1099 	prok_02718 	2855487..2856248 	- 	762 	surE 	prok_02718 	- 	- 	5'/3'-nucleotidase SurE
1099 	prok_02719 	2856229..2857278 	- 	1050 	truD 	prok_02719 	- 	- 	tRNA pseudouridine synthase D
1099 	prok_02720 	2857275..2857754 	- 	480 	ispF 	prok_02720 	- 	- 	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
1099 	prok_02721 	2857754..2858464 	- 	711 	ispD 	prok_02721 	- 	- 	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
1099 	prok_02722 	2858483..2858794 	- 	312 	ftsB 	prok_02722 	- 	- 	Cell division protein FtsB
1100 	prok_02723 	2858987..2859310 	- 	324 	ygbE 	prok_02723 	- 	- 	Inner membrane protein YgbE
1100 	prok_02724 	2859360..2859965 	- 	606 	cysC 	prok_02724 	- 	- 	Adenylyl-sulfate kinase
1100 	prok_02725 	2859965..2861392 	- 	1428 	cysN 	prok_02725 	- 	- 	Sulfate adenylyltransferase subunit 1
1100 	prok_02726 	2861394..2862302 	- 	909 	cysD 	prok_02726 	- 	- 	Sulfate adenylyltransferase subunit 2
1101 	prok_02727 	2862554..2863591 	+ 	1038 	ywaD 	prok_02727 	- 	- 	Arginyl aminopeptidase
1102 	prok_02728 	2863716..2863868 	- 	153 	- 	prok_02728 	- 	- 	small toxic polypeptide
1103 	prok_02729 	2864133..2864867 	- 	735 	cysH 	prok_02729 	- 	- 	Phosphoadenosine phosphosulfate reductase
1103 	prok_02730 	2864941..2866653 	- 	1713 	cysI 	prok_02730 	- 	- 	Sulfite reductase [NADPH] hemoprotein beta-component
1103 	prok_02731 	2866653..2868452 	- 	1800 	cysJ_1 	prok_02731 	- 	- 	Sulfite reductase [NADPH] flavoprotein alpha-component
1104 	prok_02732 	2868768..2869133 	+ 	366 	queD 	prok_02732 	- 	- 	6-carboxy-5,6,7,8-tetrahydropterin synthase
1104 	prok_02733 	2869211..2870482 	+ 	1272 	- 	prok_02733 	- 	- 	Electron transfer flavoprotein-ubiquinone oxidoreductase
1104 	prok_02734 	2870473..2870733 	+ 	261 	- 	prok_02734 	- 	- 	ferredoxin-like protein FixX
1104 	prok_02735 	2870750..2871325 	+ 	576 	- 	prok_02735 	- 	- 	Glycerol-3-phosphate responsive antiterminator
1105 	prok_02736 	2871473..2872333 	- 	861 	etfA_3 	prok_02736 	- 	- 	Electron transfer flavoprotein large subunit
1105 	prok_02737 	2872330..2873106 	- 	777 	etfB_3 	prok_02737 	- 	- 	Electron transfer flavoprotein small subunit
1105 	prok_02738 	2873084..2874493 	- 	1410 	ygcS_2 	prok_02738 	- 	- 	Inner membrane metabolite transport protein YgcS
1105 	prok_02739 	2874515..2875969 	- 	1455 	- 	prok_02739 	- 	- 	putative FAD-linked oxidoreductase
1105 	prok_02740 	2876039..2876824 	- 	786 	kduD_1 	prok_02740 	- 	- 	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
1106 	prok_02741 	2877143..2878420 	+ 	1278 	yqcE 	prok_02741 	- 	- 	Inner membrane protein YqcE
1106 	prok_02742 	2878447..2879925 	+ 	1479 	lsrK 	prok_02742 	- 	- 	Autoinducer 2 kinase LsrK
1107 	prok_02743 	2880398..2881069 	- 	672 	queE 	prok_02743 	- 	- 	7-carboxy-7-deazaguanine synthase
1108 	prok_02744 	2881242..2881844 	+ 	603 	- 	prok_02744 	- 	- 	LemA family protein
1108 	prok_02745 	2881858..2882751 	+ 	894 	- 	prok_02745 	- 	- 	hypothetical protein
1108 	prok_02746 	2882766..2883914 	+ 	1149 	- 	prok_02746 	- 	- 	hypothetical protein
1108 	prok_02747 	2883911..2884792 	+ 	882 	- 	prok_02747 	- 	- 	hypothetical protein
1109 	prok_02748 	2884852..2886150 	- 	1299 	eno 	prok_02748 	- 	- 	Enolase
1109 	prok_02749 	2886238..2887875 	- 	1638 	pyrG 	prok_02749 	- 	- 	CTP synthase
1110 	prok_02750 	2888103..2888894 	- 	792 	mazG 	prok_02750 	- 	- 	Nucleoside triphosphate pyrophosphohydrolase
1110 	prok_02751 	2888966..2889301 	- 	336 	mazF 	prok_02751 	- 	- 	mRNA interferase MazF
1110 	prok_02752 	2889301..2889549 	- 	249 	mazE 	prok_02752 	- 	- 	Antitoxin MazE
1110 	prok_02753 	2889627..2891861 	- 	2235 	relA 	prok_02753 	- 	- 	GTP pyrophosphokinase
1110 	prok_02754 	2891909..2893210 	- 	1302 	rlmD 	prok_02754 	- 	- 	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD
1111 	prok_02755 	2893267..2896023 	+ 	2757 	barA 	prok_02755 	- 	- 	Signal transduction histidine-protein kinase BarA
1112 	prok_02756 	2896254..2897594 	- 	1341 	gudD 	prok_02756 	- 	- 	Glucarate dehydratase
1112 	prok_02757 	2897615..2898955 	- 	1341 	gudX 	prok_02757 	- 	- 	Glucarate dehydratase-related protein
1112 	prok_02758 	2898957..2900309 	- 	1353 	gudP 	prok_02758 	- 	- 	D-glucarate permease
1113 	prok_02759 	2900743..2901192 	- 	450 	cysJ_2 	prok_02759 	- 	- 	Sulfite reductase [NADPH] flavoprotein alpha-component
1113 	prok_02760 	2901210..2901992 	- 	783 	truC 	prok_02760 	- 	- 	tRNA pseudouridine synthase C
1113 	prok_02761 	2901992..2902321 	- 	330 	- 	prok_02761 	- 	- 	hypothetical protein
1114 	prok_02762 	2902940..2903485 	- 	546 	- 	prok_02762 	- 	- 	SecY interacting protein Syd
1115 	prok_02763 	2903553..2904401 	+ 	849 	queF 	prok_02763 	- 	- 	NADPH-dependent 7-cyano-7-deazaguanine reductase
1115 	prok_02764 	2904513..2905877 	+ 	1365 	ygdH 	prok_02764 	- 	- 	LOG family protein YgdH
1116 	prok_02765 	2906434..2907723 	+ 	1290 	sdaC 	prok_02765 	- 	- 	Serine transporter
1116 	prok_02766 	2907781..2909148 	+ 	1368 	sdaB 	prok_02766 	- 	- 	L-serine dehydratase 2
1116 	prok_02767 	2909170..2910015 	+ 	846 	ygdG 	prok_02767 	- 	- 	Exonuclease IX
1117 	prok_02768 	2910120..2911268 	- 	1149 	fucO 	prok_02768 	- 	- 	Lactaldehyde reductase
1117 	prok_02769 	2911296..2911943 	- 	648 	fucA_2 	prok_02769 	- 	- 	L-fuculose phosphate aldolase
1118 	prok_02770 	2912490..2913806 	+ 	1317 	fucP 	prok_02770 	- 	- 	L-fucose permease
1118 	prok_02771 	2913839..2915614 	+ 	1776 	fucI 	prok_02771 	- 	- 	L-fucose isomerase
1118 	prok_02772 	2915723..2917141 	+ 	1419 	fucK 	prok_02772 	- 	- 	L-fuculokinase
1118 	prok_02773 	2917143..2917565 	+ 	423 	fucU 	prok_02773 	- 	- 	L-fucose mutarotase
1118 	prok_02774 	2917623..2918354 	+ 	732 	glpR_2 	prok_02774 	- 	- 	Glycerol-3-phosphate regulon repressor
1119 	prok_02775 	2918398..2919498 	- 	1101 	rlmM 	prok_02775 	- 	- 	Ribosomal RNA large subunit methyltransferase M
1119 	prok_02776 	2919491..2919886 	- 	396 	- 	prok_02776 	- 	- 	hypothetical protein
1119 	prok_02777 	2919905..2920822 	- 	918 	gcvA_2 	prok_02777 	- 	- 	Gcv operon activator
1120 	prok_02778 	2921173..2921400 	- 	228 	ygdR_1 	prok_02778 	- 	- 	putative lipoprotein YgdR precursor
1121 	prok_02779 	2921592..2922797 	+ 	1206 	csdA 	prok_02779 	- 	- 	Cysteine sulfinate desulfinase
1121 	prok_02780 	2922797..2923240 	+ 	444 	ygdK 	prok_02780 	- 	- 	putative SufE-like protein YgdK
1122 	prok_02781 	2923291..2924097 	- 	807 	moeB_2 	prok_02781 	- 	- 	Molybdopterin-synthase adenylyltransferase
1122 	prok_02782 	2924174..2925271 	- 	1098 	mltA 	prok_02782 	- 	- 	Membrane-bound lytic murein transglycosylase A precursor
1123 	prok_02786 	2926406..2926906 	+ 	501 	- 	prok_02786 	- 	- 	type VI secretion protein, family
1123 	prok_02787 	2926965..2928503 	+ 	1539 	- 	prok_02787 	- 	- 	type VI secretion protein, EvpB/ family
1123 	prok_02788 	2928523..2929860 	+ 	1338 	- 	prok_02788 	- 	- 	type VI secretion protein, family
1123 	prok_02789 	2929857..2930522 	+ 	666 	- 	prok_02789 	- 	- 	type IV/VI secretion system protein, DotU family
1123 	prok_02790 	2930535..2932187 	+ 	1653 	yiaD_1 	prok_02790 	- 	- 	Inner membrane lipoprotein YiaD precursor
1123 	prok_02791 	2932245..2932736 	+ 	492 	hcpA_3 	prok_02791 	- 	- 	Secreted protein hcp
1124 	prok_02792 	2932928..2935564 	+ 	2637 	clpB_3 	prok_02792 	- 	- 	Heat shock protein F84.1
1124 	prok_02793 	2935576..2938038 	+ 	2463 	- 	prok_02793 	- 	- 	Rhs element Vgr protein
1124 	prok_02794 	2938053..2938877 	+ 	825 	- 	prok_02794 	- 	- 	hypothetical protein
1124 	prok_02795 	2938874..2940850 	+ 	1977 	- 	prok_02795 	- 	- 	hypothetical protein
1124 	prok_02796 	2940872..2941132 	+ 	261 	- 	prok_02796 	- 	- 	hypothetical protein
1124 	prok_02797 	2941132..2942565 	+ 	1434 	- 	prok_02797 	- 	- 	hypothetical protein
1124 	prok_02798 	2942572..2945910 	+ 	3339 	- 	prok_02798 	- 	- 	type VI secretion protein IcmF
1124 	prok_02799 	2945876..2947513 	+ 	1638 	- 	prok_02799 	- 	- 	type VI secretion-associated protein, family
1124 	prok_02800 	2947519..2948769 	+ 	1251 	- 	prok_02800 	- 	- 	Pyocin large subunit
1124 	prok_02801 	2948754..2949215 	+ 	462 	- 	prok_02801 	- 	- 	hypothetical protein
1125 	prok_02802 	2949585..2951345 	+ 	1761 	- 	prok_02802 	- 	- 	type VI secretion protein, family
1125 	prok_02803 	2951309..2952388 	+ 	1080 	- 	prok_02803 	- 	- 	type VI secretion protein, family
1125 	prok_02804 	2952369..2952905 	+ 	537 	- 	prok_02804 	- 	- 	type VI secretion lipoprotein, family
1125 	prok_02805 	2952909..2953337 	+ 	429 	- 	prok_02805 	- 	- 	type VI secretion system lysozyme-like protein
1125 	prok_02806 	2953337..2954713 	+ 	1377 	- 	prok_02806 	- 	- 	type VI secretion-associated protein, family
1126 	prok_02807 	2955013..2955960 	- 	948 	serA_1 	prok_02807 	- 	- 	D-3-phosphoglycerate dehydrogenase
1126 	prok_02808 	2956032..2956628 	- 	597 	kdsD_1 	prok_02808 	- 	- 	Arabinose 5-phosphate isomerase KdsD
1126 	prok_02809 	2956631..2957806 	- 	1176 	patB_2 	prok_02809 	- 	- 	Cystathionine beta-lyase PatB
1126 	prok_02810 	2957806..2959386 	- 	1581 	malX_2 	prok_02810 	- 	- 	PTS system maltose- and glucose-specific EIICB component
1126 	prok_02811 	2959418..2960242 	- 	825 	licT 	prok_02811 	- 	- 	Transcription antiterminator LicT
1127 	prok_02812 	2960500..2961753 	- 	1254 	amiC 	prok_02812 	- 	- 	N-acetylmuramoyl-L-alanine amidase AmiC precursor
1128 	prok_02813 	2961985..2963316 	+ 	1332 	argA 	prok_02813 	- 	- 	Amino-acid acetyltransferase
1129 	prok_02814 	2963378..2965204 	- 	1827 	recD 	prok_02814 	- 	- 	Exodeoxyribonuclease V alpha chain
1129 	prok_02815 	2965204..2968746 	- 	3543 	recB 	prok_02815 	- 	- 	Exodeoxyribonuclease V beta chain
1129 	prok_02816 	2968739..2971627 	- 	2889 	ptrA 	prok_02816 	- 	- 	Protease 3 precursor
1129 	prok_02817 	2971803..2975171 	- 	3369 	recC 	prok_02817 	- 	- 	Exodeoxyribonuclease V gamma chain
1129 	prok_02818 	2975184..2975507 	- 	324 	- 	prok_02818 	- 	- 	Tfp pilus assembly protein PilV
1129 	prok_02819 	2975492..2975899 	- 	408 	- 	prok_02819 	- 	- 	hypothetical protein
1129 	prok_02820 	2975896..2976459 	- 	564 	- 	prok_02820 	- 	- 	hypothetical protein
1129 	prok_02821 	2976450..2976953 	- 	504 	- 	prok_02821 	- 	- 	Tfp pilus assembly protein FimT
1130 	prok_02822 	2977138..2977932 	- 	795 	thyA 	prok_02822 	- 	- 	Thymidylate synthase
1130 	prok_02823 	2977939..2978814 	- 	876 	lgt 	prok_02823 	- 	- 	Prolipoprotein diacylglyceryl transferase
1130 	prok_02824 	2978965..2981211 	- 	2247 	ptsI_2 	prok_02824 	- 	- 	Phosphoenolpyruvate-protein phosphotransferase
1130 	prok_02825 	2981224..2981754 	- 	531 	rppH 	prok_02825 	- 	- 	RNA pyrophosphohydrolase
1131 	prok_02826 	2982107..2982253 	- 	147 	- 	prok_02826 	- 	- 	hypothetical protein
1132 	prok_02827 	2982439..2983128 	+ 	690 	mutH 	prok_02827 	- 	- 	Methyl-directed mismatch repair protein
1132 	prok_02828 	2983197..2983910 	+ 	714 	- 	prok_02828 	- 	- 	integral membrane protein, YkoY family
1132 	prok_02829 	2984048..2984266 	+ 	219 	ygdR_2 	prok_02829 	- 	- 	putative lipoprotein YgdR precursor
1132 	prok_02830 	2984374..2985414 	+ 	1041 	yhdN_3 	prok_02830 	- 	- 	General stress protein 69
1133 	prok_02831 	2985446..2986639 	- 	1194 	lplT 	prok_02831 	- 	- 	Lysophospholipid transporter LplT
1133 	prok_02832 	2986632..2988791 	- 	2160 	aas 	prok_02832 	- 	- 	Bifunctional protein aas
1134 	prok_02833 	2989377..2990408 	+ 	1032 	galR 	prok_02833 	- 	- 	Galactose operon repressor
1135 	prok_02834 	2990415..2991677 	- 	1263 	lysA 	prok_02834 	- 	- 	Diaminopimelate decarboxylase
1136 	prok_02835 	2991799..2992734 	+ 	936 	cmpR_2 	prok_02835 	- 	- 	HTH-type transcriptional activator CmpR
1137 	prok_02836 	2992721..2993413 	- 	693 	- 	prok_02836 	- 	- 	Aspartate racemase
1137 	prok_02837 	2993542..2994960 	- 	1419 	araE 	prok_02837 	- 	- 	Arabinose transporter
1138 	prok_02838 	2995275..2996036 	- 	762 	kduD_2 	prok_02838 	- 	- 	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
1138 	prok_02839 	2996066..2996902 	- 	837 	kduI 	prok_02839 	- 	- 	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase
1139 	prok_02840 	2997189..2998370 	- 	1182 	thlA_2 	prok_02840 	- 	- 	Acetyl-CoA acetyltransferase
1140 	prok_02841 	2998625..2999854 	+ 	1230 	yqeG 	prok_02841 	- 	- 	Inner membrane transport protein YqeG
1141 	prok_02843 	3000322..3001077 	- 	756 	nlpD_2 	prok_02843 	- 	- 	Murein hydrolase activator NlpD precursor
1142 	prok_02844 	3001491..3003788 	+ 	2298 	xdhA_1 	prok_02844 	- 	- 	Xanthine dehydrogenase molybdenum-binding subunit
1142 	prok_02845 	3003799..3004677 	+ 	879 	ndhF_1 	prok_02845 	- 	- 	Nicotinate dehydrogenase FAD-subunit
1142 	prok_02846 	3004674..3005153 	+ 	480 	ndhS 	prok_02846 	- 	- 	Nicotinate dehydrogenase small FeS subunit
1143 	prok_02847 	3005193..3006971 	- 	1779 	- 	prok_02847 	- 	- 	(S)-limonene 6-monooxygenase
1144 	prok_02848 	3007450..3008637 	+ 	1188 	argF_1 	prok_02848 	- 	- 	Ornithine carbamoyltransferase
1144 	prok_02849 	3008695..3009891 	+ 	1197 	ygeX 	prok_02849 	- 	- 	Putative diaminopropionate ammonia-lyase
1144 	prok_02850 	3009949..3011160 	+ 	1212 	argE_1 	prok_02850 	- 	- 	Acetylornithine deacetylase
1144 	prok_02851 	3011213..3012598 	+ 	1386 	hyuA 	prok_02851 	- 	- 	D-phenylhydantoinase
1144 	prok_02852 	3012646..3013578 	+ 	933 	arcC1_2 	prok_02852 	- 	- 	Carbamate kinase 1
1145 	prok_02853 	3013619..3015244 	- 	1626 	pucA 	prok_02853 	- 	- 	putative xanthine dehydrogenase subunit A
1145 	prok_02854 	3015292..3016062 	- 	771 	- 	prok_02854 	- 	- 	putative selenium-dependent hydroxylase accessory protein YqeC
1146 	prok_02855 	3016166..3016744 	+ 	579 	mocA 	prok_02855 	- 	- 	Molybdenum cofactor cytidylyltransferase
1147 	prok_02856 	3017066..3020164 	+ 	3099 	gltD_2 	prok_02856 	- 	- 	Glutamate synthase [NADPH] small chain
1147 	prok_02857 	3020167..3021495 	+ 	1329 	mtaD 	prok_02857 	- 	- 	5-methylthioadenosine/S-adenosylhomocysteine deaminase
1147 	prok_02858 	3021546..3022325 	+ 	780 	ndhF_2 	prok_02858 	- 	- 	Nicotinate dehydrogenase FAD-subunit
1147 	prok_02859 	3022322..3025192 	+ 	2871 	xdhA_2 	prok_02859 	- 	- 	Xanthine dehydrogenase molybdenum-binding subunit
1147 	prok_02860 	3025357..3026757 	+ 	1401 	xanQ 	prok_02860 	- 	- 	Xanthine permease XanQ
1147 	prok_02861 	3026775..3028091 	+ 	1317 	guaD 	prok_02861 	- 	- 	Guanine deaminase
1147 	prok_02862 	3028127..3029494 	+ 	1368 	yjcD_1 	prok_02862 	- 	- 	Putative permease YjcD
1148 	prok_02863 	3029530..3030018 	- 	489 	hydN_2 	prok_02863 	- 	- 	Electron transport protein HydN
1148 	prok_02864 	3030018..3031937 	- 	1920 	gltD_3 	prok_02864 	- 	- 	Glutamate synthase [NADPH] small chain
1149 	prok_02865 	3032373..3033821 	+ 	1449 	uacT 	prok_02865 	- 	- 	Uric acid transporter UacT
1149 	prok_02866 	3033823..3033948 	+ 	126 	- 	prok_02866 	- 	- 	hypothetical protein
1149 	prok_02867 	3034071..3034619 	+ 	549 	idi 	prok_02867 	- 	- 	Isopentenyl-diphosphate Delta-isomerase
1150 	prok_02868 	3034662..3036179 	- 	1518 	lysS 	prok_02868 	- 	- 	Lysine--tRNA ligase
1150 	prok_02869 	3036189..3037070 	- 	882 	prfB 	prok_02869 	- 	- 	Peptide chain release factor 2
1151 	prok_02870 	3037378..3039111 	- 	1734 	recJ 	prok_02870 	- 	- 	Single-stranded-DNA-specific exonuclease RecJ
1151 	prok_02871 	3039117..3039827 	- 	711 	dsbC 	prok_02871 	- 	- 	Thiol:disulfide interchange protein DsbC precursor
1151 	prok_02872 	3039852..3040748 	- 	897 	xerD_3 	prok_02872 	- 	- 	Tyrosine recombinase XerD
1152 	prok_02873 	3040860..3041381 	+ 	522 	isiB 	prok_02873 	- 	- 	Flavodoxin
1153 	prok_02874 	3041421..3041828 	- 	408 	cptA 	prok_02874 	- 	- 	Toxin CptA
1153 	prok_02875 	3041809..3042075 	- 	267 	cptB 	prok_02875 	- 	- 	Antitoxin CptB
1154 	prok_02876 	3042318..3043298 	+ 	981 	ygfZ 	prok_02876 	- 	- 	tRNA-modifying protein YgfZ
1155 	prok_02877 	3043375..3044034 	- 	660 	- 	prok_02877 	- 	- 	hemolysin
1155 	prok_02878 	3044198..3044509 	- 	312 	- 	prok_02878 	- 	- 	ASCH domain protein
1156 	prok_02879 	3044554..3045987 	+ 	1434 	bglA_2 	prok_02879 	- 	- 	6-phospho-beta-glucosidase BglA
1157 	prok_02880 	3046153..3049026 	- 	2874 	gcvP 	prok_02880 	- 	- 	Glycine dehydrogenase [decarboxylating]
1157 	prok_02881 	3049144..3049533 	- 	390 	gcvH 	prok_02881 	- 	- 	Glycine cleavage system H protein
1157 	prok_02882 	3049557..3050651 	- 	1095 	gcvT 	prok_02882 	- 	- 	Aminomethyltransferase
1158 	prok_02883 	3051099..3052301 	- 	1203 	ubiF_2 	prok_02883 	- 	- 	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase
1158 	prok_02884 	3052324..3053502 	- 	1179 	ubiH 	prok_02884 	- 	- 	2-octaprenyl-6-methoxyphenol hydroxylase
1158 	prok_02885 	3053499..3054824 	- 	1326 	pepP 	prok_02885 	- 	- 	Xaa-Pro aminopeptidase
1158 	prok_02886 	3054850..3055428 	- 	579 	- 	prok_02886 	- 	- 	yecA family protein
1159 	prok_02887 	3055596..3055925 	+ 	330 	zapA 	prok_02887 	- 	- 	Z ring-associated protein ZapA
1160 	prok_02888 	3055875..3056138 	- 	264 	- 	prok_02888 	- 	- 	hypothetical protein
1161 	prok_02889 	3056171..3056773 	+ 	603 	- 	prok_02889 	- 	- 	5-formyltetrahydrofolate cyclo-ligase family protein
1162 	prok_02890 	3057162..3058394 	- 	1233 	serA_2 	prok_02890 	- 	- 	D-3-phosphoglycerate dehydrogenase
1163 	prok_02891 	3058650..3059309 	- 	660 	rpiA 	prok_02891 	- 	- 	Ribose-5-phosphate isomerase A
1163 	prok_02892 	3059365..3059595 	- 	231 	- 	prok_02892 	- 	- 	LysR substrate binding domain protein
1164 	prok_02893 	3059736..3060629 	+ 	894 	iciA 	prok_02893 	- 	- 	OriC replication inhibitor
1165 	prok_02894 	3060832..3061875 	+ 	1044 	scpA 	prok_02894 	- 	- 	Methylmalonyl-CoA mutase
1166 	prok_02895 	3061763..3062701 	- 	939 	cynR_2 	prok_02895 	- 	- 	Cyn operon transcriptional activator
1166 	prok_02896 	3062859..3063599 	- 	741 	- 	prok_02896 	- 	- 	26 kDa periplasmic immunogenic protein precursor
1166 	prok_02897 	3063692..3064327 	- 	636 	argO 	prok_02897 	- 	- 	Arginine exporter protein ArgO
1166 	prok_02898 	3064466..3065326 	- 	861 	mscS 	prok_02898 	- 	- 	Small-conductance mechanosensitive channel
1167 	prok_02899 	3065517..3066596 	- 	1080 	fbaA_2 	prok_02899 	- 	- 	Fructose-bisphosphate aldolase class 2
1168 	prok_02900 	3066811..3067974 	- 	1164 	pgk 	prok_02900 	- 	- 	Phosphoglycerate kinase
1168 	prok_02901 	3068024..3069043 	- 	1020 	epd 	prok_02901 	- 	- 	D-erythrose-4-phosphate dehydrogenase
1169 	prok_02902 	3069415..3069846 	+ 	432 	- 	prok_02902 	- 	- 	putative DNA-binding protein with PD1-like DNA-binding motif
1169 	prok_02903 	3069869..3070447 	+ 	579 	- 	prok_02903 	- 	- 	hypothetical protein
1169 	prok_02904 	3070448..3071155 	+ 	708 	- 	prok_02904 	- 	- 	ABC-type cobalt transport system, permease component CbiQ
1169 	prok_02905 	3071143..3071820 	+ 	678 	ecfA1_1 	prok_02905 	- 	- 	Energy-coupling factor transporter ATP-binding protein EcfA1
1169 	prok_02906 	3071814..3072491 	+ 	678 	ecfA1_2 	prok_02906 	- 	- 	Energy-coupling factor transporter ATP-binding protein EcfA1
1170 	prok_02907 	3072463..3073176 	- 	714 	coaA_1 	prok_02907 	- 	- 	Pantothenate kinase
1170 	prok_02908 	3073173..3073682 	- 	510 	mtlR_1 	prok_02908 	- 	- 	Mannitol repressor protein
1170 	prok_02909 	3073831..3074019 	- 	189 	yggF 	prok_02909 	- 	- 	Fructose-1,6-bisphosphatase 2 class 2
1170 	prok_02910 	3074016..3075293 	- 	1278 	adhT 	prok_02910 	- 	- 	Alcohol dehydrogenase
1170 	prok_02911 	3075308..3076696 	- 	1389 	mtlA_2 	prok_02911 	- 	- 	EIICBA-Mtl
1170 	prok_02912 	3076724..3077167 	- 	444 	cmtB 	prok_02912 	- 	- 	Mannitol-specific cryptic phosphotransferase enzyme IIA component
1171 	prok_02913 	3077544..3078452 	+ 	909 	hflC_1 	prok_02913 	- 	- 	Modulator of FtsH protease HflC
1172 	prok_02914 	3078671..3080662 	- 	1992 	tktA_1 	prok_02914 	- 	- 	Transketolase 1
1173 	prok_02915 	3080940..3081698 	+ 	759 	loiP_2 	prok_02915 	- 	- 	Metalloprotease LoiP precursor
1174 	prok_02916 	3081902..3082822 	- 	921 	speB 	prok_02916 	- 	- 	Agmatinase
1174 	prok_02917 	3082958..3083689 	- 	732 	- 	prok_02917 	- 	- 	hypothetical protein
1174 	prok_02918 	3083835..3085811 	- 	1977 	speA 	prok_02918 	- 	- 	Biosynthetic arginine decarboxylase
1175 	prok_02919 	3086299..3086550 	- 	252 	- 	prok_02919 	- 	- 	hypothetical protein
1176 	prok_02920 	3086606..3087760 	+ 	1155 	metK 	prok_02920 	- 	- 	S-adenosylmethionine synthase
1177 	prok_02921 	3088197..3089591 	+ 	1395 	galP 	prok_02921 	- 	- 	Galactose transporter
1177 	prok_02922 	3089710..3090165 	+ 	456 	- 	prok_02922 	- 	- 	SprT-like family protein
1177 	prok_02923 	3090260..3090967 	+ 	708 	endA 	prok_02923 	- 	- 	Endonuclease-1 precursor
1177 	prok_02924 	3091047..3091778 	+ 	732 	rsmE 	prok_02924 	- 	- 	Ribosomal RNA small subunit methyltransferase E
1177 	prok_02925 	3091791..3092741 	+ 	951 	gshB 	prok_02925 	- 	- 	Glutathione synthetase
1177 	prok_02926 	3092778..3093413 	+ 	636 	- 	prok_02926 	- 	- 	hypothetical protein
1177 	prok_02927 	3093413..3093829 	+ 	417 	yqgF 	prok_02927 	- 	- 	Putative Holliday junction resolvase
1178 	prok_02928 	3094003..3094983 	- 	981 	pilT 	prok_02928 	- 	- 	Twitching mobility protein
1179 	prok_02929 	3095001..3095705 	+ 	705 	- 	prok_02929 	- 	- 	pyridoxal phosphate enzyme, YggS family
1179 	prok_02930 	3095723..3096289 	+ 	567 	- 	prok_02930 	- 	- 	YGGT family protein
1179 	prok_02931 	3096286..3096576 	+ 	291 	- 	prok_02931 	- 	- 	hypothetical protein
1179 	prok_02932 	3096584..3097177 	+ 	594 	rdgB 	prok_02932 	- 	- 	dITP/XTP pyrophosphatase
1179 	prok_02933 	3097170..3098306 	+ 	1137 	hemN_1 	prok_02933 	- 	- 	Oxygen-independent coproporphyrinogen-III oxidase 1
1180 	prok_02934 	3098371..3099378 	- 	1008 	- 	prok_02934 	- 	- 	hypothetical protein
